Carrier Code,Status,Name,Scac,Carrier Type,Type Description,Type Group
AIPN,A,ARMARI TRANSPORTATION LLC,7198,CON,CONTRACT FLEET,Trucklo
AIPR,A,AMERI TRANSPORTATION INC,B635,CON,CONTRACT FLEET,Trucklo
AISR,X,STATE RUNNER,B195,CON,CONTRACT FLEET,Trucklo
AJAA,X,A and J TRUCKING LLC,AJAA,CON,CONTRACT FLEET,Trucklo
AJCL,A,EAGLE LOGISTICS SYSTEMS SEAWID,1946,CON,CONTRACT FLEET,Trucklo
AJGR,X,AJG TRANSPORT,AJGR,CON,CONTRACT FLEET,Trucklo
AJLG,X,AJ LOGISTICS,AJLG,CON,CONTRACT FLEET,Trucklo
AJLI,X,ALLSTATE LOGISTICS INC.,AJLI,CON,CONTRACT FLEET,Trucklo
AJNQ,X,ARJUN TRANS INC.,AJNQ,CON,CONTRACT FLEET,Trucklo
AJTC,X,A J TRANSPORT OF IL INC.,AJTC,CON,CONTRACT FLEET,Trucklo
AJTI,A,A. J. TRANSPORTATION- INC.,B923,CON,CONTRACT FLEET,Trucklo
AKAA,X,AKAAL,AKAA,CON,CONTRACT FLEET,Trucklo
AKAV,X,AKAL CARGO INC,AKAV,CON,CONTRACT FLEET,Trucklo
AKBC,X,ALKEBULAN TRUCKING LLC,AKBC,CON,CONTRACT FLEET,Trucklo
AKDT,X,AKD TRANSPORT INC,AKDT,CON,CONTRACT FLEET,Trucklo
AKFN,X,ALASKA FREIGHT SERVICE INC,AKFN,CON,CONTRACT FLEET,Trucklo
AKGC,X,ALL STAR TRUCKING LLC,AKGC,CON,CONTRACT FLEET,Trucklo
AKGR,X,ALLIANCE TRUCKING CORP,AKGR,CON,CONTRACT FLEET,Trucklo
AKHR,X,AKRON TRUCKING LLC,AKHR,CON,CONTRACT FLEET,Trucklo
AKKO,A,A K TRUCKING and LOGISTICS LLC,1609,CON,CONTRACT FLEET,Trucklo
AKLN,A,AK and L TRUCKING INC,AKLN,CON,CONTRACT FLEET,Trucklo
AKLT,X,AKAL TRANS LLC,AKLT,CON,CONTRACT FLEET,Trucklo
AKNG,X,AUTOKING TRUCKING- LLC,AKNG,CON,CONTRACT FLEET,Trucklo
AKOT,X,AMIKO TRANSPORT LLC,AKOT,CON,CONTRACT FLEET,Trucklo
AKPS,X,AMERICAS TRUCKERS CORP LLC,AKPS,CON,CONTRACT FLEET,Trucklo
AKSH,X,AKT LOGISTICS- LLC,D162,CON,CONTRACT FLEET,Trucklo
AKSP,X,ALENKO S EXPRESS LLC,AKSP,CON,CONTRACT FLEET,Trucklo
AKTD,X,A and K TRUCKING OF ATLANTA,AKTD,CON,CONTRACT FLEET,Trucklo
AKTF,X,AKAL TRANSPORT INCORPORATED,AKTF,CON,CONTRACT FLEET,Trucklo
AKTW,X,ARK TRANSPORT- INC.,AKTW,CON,CONTRACT FLEET,Trucklo
AKUG,X,AK TRUCKING,AKUG,CON,CONTRACT FLEET,Trucklo
ALAY,X,ALA TRUCKING- INC,ALAY,CON,CONTRACT FLEET,Trucklo
ALBT,X,ALBINA TRANSYSTEMS- INC.,ALBT,CON,CONTRACT FLEET,Trucklo
ALDQ,X,ALD TRANSPORTATION INC,6367,CON,CONTRACT FLEET,Trucklo
ALDV,A,ALTON DELIVERY SERVICE CO.- IN,ALDV,CON,CONTRACT FLEET,Trucklo
ALDY,A,AIR LAND DELIVERY SOLUTIONS IN,ALDY,CON,CONTRACT FLEET,Trucklo
ALDYBUA,A,AIR LAND DELIVERY SOLUTIONS IN,ALDY,BUA,BREAK UP AGENT,
ALEB,X,ALL LINES EXPRESS INC,ALEB,CON,CONTRACT FLEET,Trucklo
ALEJ,X,AT LINE INC,ALEJ,CON,CONTRACT FLEET,Trucklo
ALEV,X,AL-EX TRANSPORTATION,5854,CON,CONTRACT FLEET,Trucklo
